category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
assault,Traps Likely Cause Bodily Harm,tps,Traps Likely Cause Bodily Harm,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Set/Place Trap/Intend Death/Bh,tps,Set/Place Trap/Intend Death/Bh,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Hoax Terrorism Causing Bodily,tps,Hoax Terrorism Causing Bodily,1,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
auto_theft,Theft Of Motor Vehicle,tps,Theft Of Motor Vehicle,78714,catalog_known_categories_json,v1_published,high,cat-0011 tps_major_crime_v1
break_and_enter,B&E,tps,B&E,70875,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
break_and_enter,B&E W'Intent,tps,B&E W'Intent,10796,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
break_and_enter,Unlawfully In Dwelling-House,tps,Unlawfully In Dwelling-House,2848,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
break_and_enter,B&E Out,tps,B&E Out,132,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
break_and_enter,B&E - To Steal Firearm,tps,B&E - To Steal Firearm,24,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
break_and_enter,B&E - M/Veh To Steal Firearm,tps,B&E - M/Veh To Steal Firearm,14,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
major_crime_indicators,Assault,tps,Assault,174832,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Theft Of Motor Vehicle,tps,Theft Of Motor Vehicle,78714,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,B&E,tps,B&E,70875,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Assault With Weapon,tps,Assault With Weapon,43667,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Assault Bodily Harm,tps,Assault Bodily Harm,10904,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,B&E W'Intent,tps,B&E W'Intent,10796,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Mugging,tps,Robbery - Mugging,9848,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Theft Over,tps,Theft Over,9574,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Assault Peace Officer,tps,Assault Peace Officer,8322,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery With Weapon,tps,Robbery With Weapon,7906,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Other,tps,Robbery - Other,6816,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Business,tps,Robbery - Business,6084,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Assault - Resist/ Prevent Seiz,tps,Assault - Resist/ Prevent Seiz,3866,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
