taxonomy_version,category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
v2_draft,assault,Traps Likely Cause Bodily Harm,tps,Traps Likely Cause Bodily Harm,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
v2_draft,assault,Set/Place Trap/Intend Death/Bh,tps,Set/Place Trap/Intend Death/Bh,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
v2_draft,assault,Hoax Terrorism Causing Bodily,tps,Hoax Terrorism Causing Bodily,1,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
v2_draft,auto_vehicle_theft,Theft Of Motor Vehicle,tps,Theft Of Motor Vehicle,78714,catalog_known_categories_json,v1_published,high,cat-0011 tps_major_crime_v1
v2_draft,break_and_enter,B&E,tps,B&E,70875,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,break_and_enter,B&E W'Intent,tps,B&E W'Intent,10796,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,break_and_enter,Unlawfully In Dwelling-House,tps,Unlawfully In Dwelling-House,2848,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,break_and_enter,B&E Out,tps,B&E Out,132,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,break_and_enter,B&E - To Steal Firearm,tps,B&E - To Steal Firearm,24,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,break_and_enter,B&E - M/Veh To Steal Firearm,tps,B&E - M/Veh To Steal Firearm,14,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
v2_draft,assault,Assault,tps,Assault,174832,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,auto_vehicle_theft,Theft Of Motor Vehicle,tps,Theft Of Motor Vehicle,78714,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,break_and_enter,B&E,tps,B&E,70875,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,weapons,Assault With Weapon,tps,Assault With Weapon,43667,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,assault,Assault Bodily Harm,tps,Assault Bodily Harm,10904,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,break_and_enter,B&E W'Intent,tps,B&E W'Intent,10796,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Mugging,tps,Robbery - Mugging,9848,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,theft_other,Theft Over,tps,Theft Over,9574,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined; step6c_patch_applied
v2_draft,assault,Assault Peace Officer,tps,Assault Peace Officer,8322,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,weapons,Robbery With Weapon,tps,Robbery With Weapon,7906,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Other,tps,Robbery - Other,6816,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Business,tps,Robbery - Business,6084,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,theft_other,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined; step6c_patch_applied
v2_draft,assault,Assault - Resist/ Prevent Seiz,tps,Assault - Resist/ Prevent Seiz,3866,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,assault,Aggravated Assault,tps,Aggravated Assault,3320,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Swarming,tps,Robbery - Swarming,2872,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,other,Unlawfully In Dwelling-House,tps,Unlawfully In Dwelling-House,2848,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,shooting_firearm,Discharge Firearm With Intent,tps,Discharge Firearm With Intent,2816,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,shooting_firearm,Discharge Firearm - Recklessly,tps,Discharge Firearm - Recklessly,1990,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Vehicle Jacking,tps,Robbery - Vehicle Jacking,1798,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Home Invasion,tps,Robbery - Home Invasion,1765,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,theft_other,Theft From Mail / Bag / Key,tps,Theft From Mail / Bag / Key,1725,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined; step6c_patch_applied
v2_draft,shooting_firearm,Pointing A Firearm,tps,Pointing A Firearm,1704,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Purse Snatch,tps,Robbery - Purse Snatch,1265,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Financial Institute,tps,Robbery - Financial Institute,1090,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
v2_draft,robbery,Robbery - Mugging,tps,Robbery - Mugging,9848,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery With Weapon,tps,Robbery With Weapon,7906,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Other,tps,Robbery - Other,6816,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Business,tps,Robbery - Business,6084,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Swarming,tps,Robbery - Swarming,2872,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Vehicle Jacking,tps,Robbery - Vehicle Jacking,1798,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Home Invasion,tps,Robbery - Home Invasion,1765,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Purse Snatch,tps,Robbery - Purse Snatch,1265,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Financial Institute,tps,Robbery - Financial Institute,1090,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Delivery Person,tps,Robbery - Delivery Person,332,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Taxi,tps,Robbery - Taxi,280,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Atm,tps,Robbery - Atm,137,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery - Armoured Car,tps,Robbery - Armoured Car,53,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,robbery,Robbery To Steal Firearm,tps,Robbery To Steal Firearm,2,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
v2_draft,theft_from_vehicle,Theft From Motor Vehicle Under,tps,Theft From Motor Vehicle Under,102613,catalog_known_categories_json,v1_published,high,cat-0067 tps_major_crime_v1
v2_draft,theft_other,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_published,high,cat-0067 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft Over,tps,Theft Over,9574,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft From Mail / Bag / Key,tps,Theft From Mail / Bag / Key,1725,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft Over - Shoplifting,tps,Theft Over - Shoplifting,826,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft Over - Distraction,tps,Theft Over - Distraction,430,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft Over - Bicycle,tps,Theft Over - Bicycle,219,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft - Misapprop Funds Over,tps,Theft - Misapprop Funds Over,47,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,theft_other,Theft Of Utilities Over,tps,Theft Of Utilities Over,8,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1; step6c_patch_applied
v2_draft,asl,ASL,peel-prp,ASL,21250,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,VEH,peel-prp,VEH,17728,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,FRA,peel-prp,FRA,14937,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,mischief_property_damage,MIS,peel-prp,MIS,13948,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,BNE,peel-prp,BNE,7666,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,DRP,peel-prp,DRP,3045,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,ROB,peel-prp,ROB,2512,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,DRT,peel-prp,DRT,1257,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,asl,HOM,peel-prp,HOM,58,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
v2_draft,theft_other,Theft Under $5000,yrp,Theft Under $5000,15714,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,fraud,Fraud,yrp,Fraud,9779,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,assault,Assaults,yrp,Assaults,9330,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,other_criminal_code,other persons crime,yrp,Other Persons Crime,6577,catalog_known_categories_json,v1_deferred,low,cat-0090 yrp_community_safety_incidents; step6c_patch_applied
v2_draft,mischief_property_damage,Mischief,yrp,Mischief,5437,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,other_criminal_code,Other Property Crime,yrp,Other Property Crime,3878,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,auto_vehicle_theft,Theft of Motor Vehicle,yrp,Theft of Motor Vehicle,2711,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,impaired_driving,Impaired Operation,yrp,Impaired Operation,1966,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,break_and_enter,break and enter,yrp,Break and Enter - Residential,1934,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents; step6c_patch_applied
v2_draft,missing_person,Missing Person,yrp,Missing Person,1600,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,other_criminal_code,Other Criminal Code,yrp,Other Criminal Code,1249,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,drugs,Drug Violations,yrp,Drug Violations,1161,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,theft_other,Theft Over $5000,yrp,Theft Over $5000,1110,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,break_and_enter,break and enter,yrp,Break and Enter - Commercial,1054,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents; step6c_patch_applied
v2_draft,sexual_assault,Sexual Violations,yrp,Sexual Violations,733,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,other,Provincial Offences,yrp,Provincial Offences,686,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,robbery,Robbery,yrp,Robbery,660,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,weapons,Weapons Violations,yrp,Weapons Violations,584,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,drugs,Cannabis Act,yrp,Cannabis Act,348,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,shooting_firearm,Firearms Violations,yrp,Firearms Violations,197,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,other_criminal_code,public morals,yrp,Public Morals,172,catalog_known_categories_json,v1_deferred,low,cat-0090 yrp_community_safety_incidents; step6c_patch_applied
v2_draft,arson,Arson,yrp,Arson,151,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,break_and_enter,Break and Enter - Other,yrp,Break and Enter - Other,69,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,homicide,Attempt Murder,yrp,Attempt Murder,41,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,homicide,Homicide,yrp,Homicide,12,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
v2_draft,assault,Assault,durham-drps,Assault,3103,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,theft_from_vehicle,Theft from MV,durham-drps,Theft from MV,1397,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,auto_vehicle_theft,Vehicle Theft,durham-drps,Vehicle Theft,1164,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,break_and_enter,break and enter,durham-drps,Break & Enter,1075,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master; step6c_patch_applied
v2_draft,impaired_driving,impaired operation,durham-drps,Impaired Operation,752,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master; step6c_patch_applied
v2_draft,robbery,Robbery,durham-drps,Robbery,267,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,shooting_firearm,Shooting & Firearm Discharge,durham-drps,Shooting & Firearm Discharge,48,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,homicide,Homicide,durham-drps,Homicide,13,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
v2_draft,impaired_driving,roadside test,halton-hrps,ROADSIDE TEST,10332,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,traffic_collisions,motor vehicle collision,halton-hrps,MVC - HIT & RUN,1946,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,auto_vehicle_theft,theft of vehicle,halton-hrps,THEFT OF VEHICLE,1233,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,traffic_collisions,motor vehicle collision,halton-hrps,MVC - PI,1165,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,theft_from_vehicle,theft from auto,halton-hrps,THEFT FROM AUTO,1045,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,theft_other,theft other,halton-hrps,THEFT UNDER,1029,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,mischief_property_damage,property damage,halton-hrps,"PROPERTY DAMAGE UNDER $5,000",773,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,break_and_enter,break and enter,halton-hrps,BREAK AND ENTER HOUSE,524,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,impaired_driving,impaired driving,halton-hrps,IMPAIRED DRIVING,493,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,theft_other,theft other,halton-hrps,THEFT OVER,326,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,break_and_enter,break and enter,halton-hrps,BREAK AND ENTER OTHER,228,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,break_and_enter,break and enter,halton-hrps,BREAK AND ENTER SHOP,207,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,other,recovered vehicle other service,halton-hrps,RECOVERED VEHICLE OTH SERVICE,205,catalog_known_categories_json,v1_deferred,low,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,theft_other,theft other,halton-hrps,THEFT OF BICYCLE,195,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,robbery,ROBBERY,halton-hrps,ROBBERY,155,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
v2_draft,weapons,offensive weapons,halton-hrps,OFFENSIVE WEAPONS,153,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,drugs,federal stats drugs,halton-hrps,FEDERAL STATS - DRUGS,115,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,arson,ARSON,halton-hrps,ARSON,48,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
v2_draft,mischief_property_damage,property damage,halton-hrps,"PROPERTY DAMAGE OVER $5,000",39,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,traffic_collisions,dangerous operation traffic,halton-hrps,DANGEROUS OPERATION - TRAFFIC,17,catalog_known_categories_json,v1_deferred,medium,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,traffic_collisions,motor vehicle collision,halton-hrps,MVC - FATALITY,15,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,break_and_enter,break and enter,halton-hrps,BREAK AND ENTER SCHOOL,9,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents; step6c_patch_applied
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,5267,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,auto_vehicle_theft,Theft - Truck,hamilton-hps,Theft - Truck,3781,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Business,3161,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Residence,2575,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,auto_vehicle_theft,Theft - Automobile,hamilton-hps,Theft - Automobile,2350,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,2283,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Other,969,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,robbery,Robbery - Business,hamilton-hps,Robbery - Business,269,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - NO Damage,165,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
