catalog_id,jurisdiction_id,dataset_group,source_class,bronze_table,canonical_column,source_column,transform_rule,silver_phase,notes
cat-0011,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__auto_theft_open_data_4481082360476864088,mappable,derived,1 when lat/lng valid and non-zero,phase1,
cat-0011,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__auto_theft_open_data_4481082360476864088,source_fields_json,all_bronze_columns,json_object of non-provenance columns,phase1,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,report_date,REPORT_DATE,parse when present,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,lat,LAT_WGS84,REAL; invalid -> null,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,offence_raw,OFFENCE,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,offence_secondary,CSI_CATEGORY,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,division,DIVISION,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,municipality,,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,neighbourhood_primary,HOOD_158,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,location_type,LOCATION_TYPE,,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0012,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__bicycle_thefts_open_data_891999917589377,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,phase1,
