catalog_id,jurisdiction_id,source_name,source_type,source_class,official_url,endpoint_url,local_root_path,source_file,load_file_path,main_csv_path,main_geojson_path,metadata_path,audit_paths,dataset_group,crime_category_raw,row_count,date_min,date_max,date_field_used,coordinate_fields,mappable_count,mappable_percent,primary_source_key,occurrence_grouping_key,geography_fields,offence_category_fields,known_categories_json,missing_categories,privacy_level,scope_type,ingestion_status,public_display_status,ingestion_readiness_status,notes,risks
cat-0081,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_ASL_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_ASL_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_ASL_Hotspot.geojson,,,peel_hotspots_overlay,,24,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0082,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_BNE_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_BNE_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_BNE_Hotspot.geojson,,,peel_hotspots_overlay,,18,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0083,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_DRP_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_DRP_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_DRP_Hotspot.geojson,,,peel_hotspots_overlay,,19,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0084,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_DRT_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_DRT_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_DRT_Hotspot.geojson,,,peel_hotspots_overlay,,18,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0085,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_FRA_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_FRA_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_FRA_Hotspot.geojson,,,peel_hotspots_overlay,,22,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0086,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_HOM_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_HOM_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_HOM_Hotspot.geojson,,,peel_hotspots_overlay,,7,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0087,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_MIS_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_MIS_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_MIS_Hotspot.geojson,,,peel_hotspots_overlay,,23,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0088,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_ROB_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_ROB_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_ROB_Hotspot.geojson,,,peel_hotspots_overlay,,21,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0089,peel-prp,PRP ECrimes Hotspots,geojson,derived_analytical_overlay,,,data/raw/peel-prp/ecrimes,2025_VEH_Hotspot.geojson,data/raw/peel-prp/ecrimes/hotspots/2025/2025_VEH_Hotspot.geojson,,data/raw/peel-prp/ecrimes/hotspots/2025/2025_VEH_Hotspot.geojson,,,peel_hotspots_overlay,,21,,,,,,,,,,,,,,extract_only,ready_with_caveats,not_for_public_incident_map,,Derived analytical overlay; not primary incident records.,
cat-0090,yrp,YRP Community Safety Portal,csv,public_incident_records_crime_map,https://community-safety-portal-datayrp.hub.arcgis.com/,https://services8.arcgis.com/lYI034SQcOoxRCR7/arcgis/rest/services/Occurrence_Data_View/FeatureServer/0,data/raw/yrp/community-safety,yrp-community-safety-occurrences-2026-07-01-with-geometry.csv,data/raw/yrp/community-safety/incidents/2026-07-01/yrp-community-safety-occurrences-2026-07-01-with-geometry.csv,data/raw/yrp/community-safety/incidents/2026-07-01/yrp-community-safety-occurrences-2026-07-01-with-geometry.csv,,,data/raw/yrp/community-safety/_audit/2026-07-01,yrp_community_safety_incidents,occ_type,67153,2025-01-01,2026-06-30,occ_date,"Longitude,Latitude",67153,100.0,UniqueIdentifier,occ_id,"municipality,district,sector","occ_type,case_type_pubtrans,case_category1","[{""name"":""Theft Under $5000"",""count"":15714},{""name"":""Fraud"",""count"":9779},{""name"":""Assaults"",""count"":9330},{""name"":""Other Persons Crime"",""count"":6577},{""name"":""Mischief"",""count"":5437},{""name"":""Other Property Crime"",""count"":3878},{""name"":""Theft of Motor Vehicle"",""count"":2711},{""name"":""Impaired Operation"",""count"":1966},{""name"":""Break and Enter - Residential"",""count"":1934},{""name"":""Missing Person"",""count"":1600},{""name"":""Other Criminal Code"",""count"":1249},{""name"":""Drug Violations"",""count"":1161},{""name"":""Theft Over $5000"",""count"":1110},{""name"":""Break and Enter - Commercial"",""count"":1054},{""name"":""Sexual Violations"",""count"":733},{""name"":""Provincial Offences"",""count"":686},{""name"":""Robbery"",""count"":660},{""name"":""Weapons Violations"",""count"":584},{""name"":""Cannabis Act"",""count"":348},{""name"":""Firearms Violations"",""count"":197},{""name"":""Public Morals"",""count"":172},{""name"":""Arson"",""count"":151},{""name"":""Break and Enter - Other"",""count"":69},{""name"":""Attempt Murder"",""count"":41},{""name"":""Homicide"",""count"":12}]",,public_offset,rolling_window,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,Public view filtered to occ_date > 2024-12-31 (2025+ only).,YRP terms restrict commercial use and cross-time safety comparisons.
